year,title,category,nominee,artist,winner,track_id,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre
2019,62nd Annual GRAMMY Awards  (2019),Song Of The Year,Bad Guy,Billie Eilish,True,2Fxmhks0bxGSBdJ92vM42m,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",bad guy,84,194087,False,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,electro
2019,62nd Annual GRAMMY Awards  (2019),Song Of The Year,Always Remember Us This Way,Unknown,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Song Of The Year,Bring My Flowers Now,Unknown,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Song Of The Year,Hard Place,Unknown,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Song Of The Year,Lover,Taylor Swift,True,1dGr1c8CrMLDpV6mPbImSI,Lover,Lover,85,221306,False,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534,pop
2019,62nd Annual GRAMMY Awards  (2019),Song Of The Year,Norman F***ing Rockwell,Unknown,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Song Of The Year,Someone You Loved,Lewis Capaldi,True,7qEHsqek33rTcFNT9PFqLf,Divinely Uninspired To A Hellish Extent,Someone You Loved,87,182160,False,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,pop
2019,62nd Annual GRAMMY Awards  (2019),Song Of The Year,Truth Hurts,Mini Pop Kids,True,1utGlAQh8wU3KwibRWIYDN,Mini Pop Kids 17,Truth Hurts,12,161213,False,0.753,0.534,1,-6.44,1,0.12,0.111,0.0,0.118,0.487,158.075,kids
2019,62nd Annual GRAMMY Awards  (2019),Best Pop Solo Performance,Truth Hurts,Lizzo,True,5djmFvrnR30Tj9Yyj8tOQQ,Give You Love - Cozy Hits,Truth Hurts,1,173325,True,0.715,0.622,4,-3.046,0,0.111,0.11,0.0,0.123,0.407,158.088,hip-hop
2019,62nd Annual GRAMMY Awards  (2019),Best Pop Solo Performance,Spirit,Beyoncé,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best Pop Solo Performance,Bad Guy,Billie Eilish,True,2Fxmhks0bxGSBdJ92vM42m,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",bad guy,84,194087,False,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,electro
